Year,Jurisdiction,Subject,Grade,Subgroup,Mean,25th Percentile,50th Percentile,75th Percentile,Standard Deviation,Cumulative achievement level - Below Basic,Discrete achievement level - At Basic,Cumulative achievement level - At or above Basic,Discrete achievement level - At Proficient,Cumulative achievement level - At or above Proficient,Discrete achievement level - At Advanced,Cumulative achievement level - At Advanced
2009,AL,Mathematics,4,Non-Special Education,231.41,213.51,232.46,250.01,27.08,25.61,47.98,74.39,23.83,26.41,2.58,2.58
2009,AK,Mathematics,4,Non-Special Education,241.01,223.46,243.52,261.70,29.80,17.19,40.83,82.81,35.21,41.98,6.77,6.77
2009,AZ,Mathematics,4,Non-Special Education,232.89,213.39,233.56,253.15,28.93,25.64,44.56,74.36,25.82,29.81,3.99,3.99
2009,AR,Mathematics,4,Non-Special Education,240.27,222.45,241.71,259.20,27.31,16.79,44.18,83.21,33.59,39.03,5.44,5.44
2009,CA,Mathematics,4,Non-Special Education,233.67,213.16,234.15,254.96,30.65,25.91,42.68,74.09,25.86,31.41,5.55,5.55
2009,CO,Mathematics,4,Non-Special Education,245.93,227.85,248.07,265.73,27.94,13.25,38.12,86.75,39.89,48.63,8.74,8.74
2009,CT,Mathematics,4,Non-Special Education,247.79,229.82,248.91,266.83,26.73,11.15,38.96,88.85,40.68,49.89,9.21,9.21
2009,DE,Mathematics,4,Non-Special Education,242.30,225.39,242.31,259.32,24.65,12.68,47.88,87.32,34.00,39.44,5.43,5.43
2009,DC,Mathematics,4,Non-Special Education,222.37,201.59,221.31,241.76,30.95,39.82,41.64,60.18,15.01,18.54,3.53,3.53
2009,FL,Mathematics,4,Non-Special Education,244.07,227.41,244.37,261.12,24.90,11.33,45.76,88.67,37.07,42.91,5.84,5.84
2009,GA,Mathematics,4,Non-Special Education,238.21,219.71,239.28,257.35,27.21,19.42,44.57,80.58,31.14,36.01,4.87,4.87
2009,HI,Mathematics,4,Non-Special Education,239.87,222.02,242.06,260.10,28.71,17.57,42.73,82.43,34.14,39.70,5.56,5.56
2009,ID,Mathematics,4,Non-Special Education,243.30,227.23,244.45,260.60,24.78,12.44,44.45,87.56,38.30,43.11,4.81,4.81
2009,IL,Mathematics,4,Non-Special Education,240.65,221.59,241.45,260.91,28.92,17.71,42.45,82.29,32.71,39.84,7.13,7.13
2009,IN,Mathematics,4,Non-Special Education,244.95,228.90,245.57,261.30,24.39,10.12,45.55,89.88,38.38,44.32,5.94,5.94
2009,IA,Mathematics,4,Non-Special Education,245.85,230.24,246.53,261.96,23.71,9.26,45.18,90.74,39.64,45.55,5.91,5.91
